id_b,id_q,yes,no,does not matter
12,24,0.05,0.9,0.05
13,24,0.05,0.9,0.05
14,24,0.9,0.05,0.05
15,24,0.05,0.9,0.05
1,25,0.05,0.9,0.05
2,25,0.05,0.9,0.05
3,25,0.05,0.9,0.05
4,25,0.05,0.9,0.05
5,25,0.05,0.9,0.05
6,25,0.05,0.9,0.05
7,25,0.05,0.9,0.05
8,25,0.05,0.9,0.05
9,25,0.05,0.9,0.05
10,25,0.05,0.9,0.05
11,25,0.05,0.9,0.05
12,25,0.05,0.9,0.05
13,25,0.05,0.9,0.05
14,25,0.05,0.9,0.05
15,25,0.9,0.05,0.05
